Kod_powiat,Wskaznik zanieczyszczenie powietrza,Liczba pojazdów samochodowych,udział powierzchni gminnych terenów zieleni w powierzchni danej jednostki terytorialnej,Powierzchnia gruntów leśnych,Powierzchnia powiatu w hektarach,Ludnośc na 1km2,Srednie wynagrodzenie,Drogi o nawierzchni twardej w km
2212,37.4,92040,0.1,2516.72,230087,42,6357.82,586.3
3213,38,52288,0.0,1076.05,104317,51,5911.21,248.3
3209,38.125,62783,0.0,2315.79,164622,39,6355.69,278.2
2210,38.2,33177,0.0,34.85,91402,37,6456.26,241.1
0810,38.44444444,76082,0.1,1401.07,113157,66,6259.95,290.0
3263,39,30165,0.4,68.92,20207,195,6847.78,65.9
0811,39.1,99728,0.2,1784.82,139281,66,6929.71,258.8
2216,39.8,39168,0.0,1207.99,73055,53,6362.83,186.1
3201,40.5,40014,0.1,1582.72,84546,53,6472.12,138.7
3215,40.5,54079,0.2,2841.45,176551,42,6474.24,208.7
2209,40.5,53126,0.2,129.87,49439,123,6077.46,173.3
2201,40.6,80009,0.0,12885.88,219220,35,6650.73,539.2
3207,40.66666667,45291,0.1,823.37,100752,44,6058.19,146.9
0414,41.09090909,93446,0.1,3662.46,147421,65,6561.15,468.0
2011,41.1,67593,0.0,17006.40,205442,30,6226.76,330.1
0217,41.2,47873,0.1,413.47,62189,68,7147.32,134.9
0809,41.33333333,84236,0.1,1831.74,135089,55,6866.37,307.7
0416,41.5,52282,0.0,7102.07,107538,44,5840.11,309.6
0802,41.71428571,57666,0.0,1087.59,138991,38,6637.01,160.9
0804,41.75,73715,0.1,1423.90,77075,107,6766.75,267.6
2804,41.77777778,57595,0.0,2901.58,141301,39,5875.0,361.1
2207,41.83333333,75298,0.1,1275.59,83468,97,6579.01,325.0
0207,42,33469,0.1,572.30,39571,103,6213.96,151.0
0862,42,124487,0.3,852.0,27827,501,7487.10,181.2
2008,42,38409,0.0,13679.32,138180,27,6314.59,221.6
3203,42,51610,0.0,2499.11,176424,31,6073.21,177.1
3205,42,56969,0.1,919.47,102110,56,6157.01,213.3
3261,42,82442,0.9,128.82,10557,1005,6828.27,116.6
3204,42.16666667,83510,0.1,1030.85,161547,50,6734.89,159.5
2204,42.25,135121,0.1,1017.47,79387,164,6959.38,488.3
0205,42.33333333,50096,0.2,701.25,58110,82,7059.41,138.8
3216,42.5,41503,0.1,1969.96,109313,40,6050.51,114.8
3218,42.6,34466,0.2,1104.66,106510,32,6257.92,80.0
2211,42.85714286,75889,0.1,1693.19,86835,105,6686.91,345.5
0222,43,45294,0.3,870.67,67495,68,7922.52,133.7
